1,	3.222
2,	0
3,	0
4,	0
5,	0
6,	0
7,	0
8,	0
9,	0
10,	0
11,	0
12,	0
13,	0
14,	0
15,	0
16,	0
17,	0
18,	0
19,	0
20,	0
21,	0
22,	0
23,	0
24,	0
25,	0
26,	0
27,	0.523
28,	2.359
29,	4.609
30,	10.011
31,	12.636
32,	12.785
33,	11.546
34,	11.058
35,	10.761
36,	9.671
37,	8.246
38,	6.933
39,	6.746
40,	6.335
41,	4.273
42,	1.835
43,	1.386
44,	1.386
45,	1.16
46,	3.746
47,	0
48,	0
49,	0
50,	0
51,	0.109
52,	2.511
53,	3.933
54,	9.035
55,	14.699
56,	18.523
57,	22.046
58,	25.535
59,	29.246
60,	32.996
61,	36.933
62,	40.16
63,	40.984
64,	40.796
65,	39.07
66,	36.859
67,	35.285
68,	34.871
69,	34.46
70,	34.757
71,	33.109
72,	29.32
73,	25.347
74,	22.796
75,	21.933
76,	21.597
77,	19.683
78,	16.796
79,	14.96
80,	13.535
81,	12.824
82,	13.421
83,	14.773
84,	15.371
85,	15.074
86,	12.636
87,	11.734
88,	11.398
89,	11.398
90,	8.324
91,	6.222
92,	3.671
93,	3.335
94,	3.636
95,	3.972
96,	2.246
97,	0
98,	0.183
99,	1.683
100,	3.109
101,	5.21
102,	8.734
103,	11.699
104,	14.136
105,	16.761
106,	18.371
107,	19.535
108,	23.132
109,	27.746
110,	30.41
111,	30.746
112,	30.82
113,	29.882
114,	29.996
115,	29.246
116,	26.433
117,	22.57
118,	19.609
119,	17.398
120,	16.273
121,	15.183
122,	12.109
123,	9.746
124,	8.996
125,	9.183
126,	9.71
127,	12.636
128,	16.421
129,	20.847
130,	27.035
131,	31.273
132,	31.609
133,	33.484
134,	34.007
135,	34.382
136,	34.757
137,	35.023
138,	36.109
139,	38.097
140,	38.285
141,	38.023
142,	37.648
143,	36.671
144,	34.496
145,	32.695
146,	30.296
147,	27.445
148,	23.96
149,	20.023
150,	17.21
151,	17.699
152,	21.859
153,	25.683
154,	29.66
155,	31.57
156,	32.507
157,	34.871
158,	36.222
159,	35.773
160,	35.585
161,	35.621
162,	34.984
163,	35.097
164,	34.609
165,	33.148
166,	31.308
167,	29.695
168,	28.121
169,	27.523
170,	27.335
171,	26.621
172,	24.222
173,	20.585
174,	18.296
175,	16.574
176,	15.71
177,	16.199
178,	17.171
179,	17.96
180,	18.824
181,	19.683
182,	20.433
183,	19.722
184,	18.824
185,	18.558
186,	18.746
187,	19.347
188,	16.609
189,	13.722
190,	12.71
191,	12.109
192,	9.109
193,	6.71
194,	4.761
195,	3.222
196,	0.335
197,	0
198,	0
199,	0
200,	0
201,	0
202,	0
203,	0
204,	0
205,	0
206,	0
207,	0
208,	0
209,	0
210,	0
211,	0
212,	0
213,	0
214,	0
215,	0
216,	0
217,	0
218,	0
219,	0
220,	0
221,	0
222,	0
223,	0
224,	0
225,	0
226,	0
227,	0
228,	0
229,	0
230,	0
231,	0
232,	0
233,	0
234,	0
235,	0.222
236,	3.41
237,	8.398
238,	15.074
239,	21.257
240,	26.285
241,	29.507
242,	32.996
243,	36.222
244,	38.21
245,	38.546
246,	39.257
247,	39.144
248,	38.546
249,	36.859
250,	36.746
251,	34.945
252,	33.523
253,	32.882
254,	31.722
255,	30.898
256,	29.773
257,	27.671
258,	25.609
259,	22.46
260,	20.882
261,	20.285
262,	17.773
263,	19.382
264,	20.66
265,	21.07
266,	21.257
267,	21.07
268,	16.871
269,	11.96
270,	8.511
271,	5.808
272,	4.273
273,	1.347
274,	1.085
275,	2.097
276,	2.324
277,	3.824
278,	6.824
279,	7.16
280,	7.535
281,	7.421
282,	8.585
283,	11.359
284,	15.484
285,	19.871
286,	24.632
287,	29.882
288,	32.058
289,	32.097
290,	30.71
291,	29.398
292,	28.871
293,	25.871
294,	21.523
295,	18.074
296,	15.449
297,	12.746
298,	10.199
299,	9.597
300,	8.847
301,	8.585
302,	8.734
303,	8.808
304,	10.984
305,	16.046
306,	17.808
307,	19.199
308,	19.796
309,	22.835
310,	23.21
311,	25.648
312,	25.91
313,	26.32
314,	26.359
315,	26.507
316,	26.472
317,	26.359
318,	26.359
319,	27.597
320,	28.195
321,	28.121
322,	27.71
323,	25.347
324,	23.585
325,	21.558
326,	21.257
327,	22.757
328,	23.398
329,	24.07
330,	24.484
331,	25.421
332,	26.734
333,	25.609
334,	22.535
335,	19.796
336,	17.66
337,	16.121
338,	15.183
339,	12.449
340,	10.648
341,	10.535
342,	8.847
343,	7.308
344,	5.136
345,	0.523
346,	0
347,	0
348,	0
349,	0
350,	0
351,	0
352,	0
353,	0
354,	0
355,	0
356,	0
357,	0
358,	0
359,	0
360,	0
361,	0
362,	0.746
363,	2.546
364,	3.933
365,	7.234
366,	11.246
367,	14.21
368,	16.91
369,	19.945
370,	22.57
371,	25.382
372,	28.945
373,	30.597
374,	31.16
375,	31.984
376,	32.66
377,	33.41
378,	34.347
379,	36.109
380,	37.308
381,	38.507
382,	39.746
383,	40.722
384,	41.246
385,	42.144
386,	42.632
387,	42.484
388,	42.109
389,	41.019
390,	39.183
391,	37.121
392,	35.66
393,	35.472
394,	35.921
395,	35.847
396,	34.984
397,	31.648
398,	27.898
399,	24.07
400,	22.046
401,	21.484
402,	21.632
403,	20.433
404,	15.597
405,	13.871
406,	13.347
407,	10.496
408,	8.66
409,	7.835
410,	8.511
411,	11.546
412,	13.535
413,	17.585
414,	22.121
415,	26.433
416,	30.82
417,	33.296
418,	36.183
419,	38.957
420,	40.046
421,	40.832
422,	41.695
423,	42.519
424,	42.296
425,	41.66
426,	41.171
427,	39.785
428,	37.984
429,	36.109
430,	33.972
431,	31.984
432,	30.671
433,	30.183
434,	30.035
435,	29.734
436,	29.21
437,	26.433
438,	23.546
439,	21.71
440,	20.921
441,	20.546
442,	20.21
443,	16.46
444,	12.671
445,	11.433
446,	11.136
447,	11.21
448,	9.296
449,	6.636
450,	2.171
451,	0
452,	0
453,	0
454,	0
455,	0
456,	0
457,	0
458,	0
459,	0
460,	0
461,	0
462,	0
463,	0
464,	0
465,	0
